               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,              0.0434,            0.020339,           0.0012457,             0.75089,             0.67626,             0.72444,             0.45227,            0.045052,            0.020742,           0.0020236,           0.0094555,           0.0094555,           0.0094555
                  57,            0.043525,            0.020841,          0.00098949,             0.80062,             0.72175,             0.76357,              0.4482,            0.044258,            0.018396,           0.0018613,           0.0094456,           0.0094456,           0.0094456
                  58,            0.043611,            0.020404,           0.0012235,              0.7781,             0.77937,             0.79207,             0.48184,            0.044477,            0.018663,           0.0020274,           0.0094357,           0.0094357,           0.0094357
                  59,            0.043017,            0.019903,           0.0012622,             0.72014,             0.72604,             0.73635,             0.43755,            0.044006,            0.018476,           0.0019957,           0.0094258,           0.0094258,           0.0094258
                  60,            0.042781,            0.020014,           0.0011923,             0.79157,             0.77403,             0.79633,             0.48998,            0.043422,            0.018108,           0.0018287,           0.0094159,           0.0094159,           0.0094159
                  61,            0.042952,            0.020509,          0.00085102,             0.77923,              0.7561,             0.78466,             0.47409,            0.043099,            0.018144,           0.0020679,            0.009406,            0.009406,            0.009406
                  62,            0.043143,            0.020533,           0.0011583,             0.76758,                0.74,             0.78083,             0.48032,            0.042929,            0.018341,           0.0016989,           0.0093961,           0.0093961,           0.0093961
                  63,            0.042178,            0.020564,           0.0011927,             0.75916,             0.74983,             0.76979,             0.46097,            0.043935,            0.017987,           0.0020427,           0.0093862,           0.0093862,           0.0093862
                  64,            0.042993,            0.020065,            0.001182,             0.79774,              0.7532,             0.79135,             0.49596,            0.043201,            0.018136,           0.0017228,           0.0093763,           0.0093763,           0.0093763
                  65,            0.041968,            0.020317,           0.0011856,             0.76782,             0.74517,             0.78238,             0.48039,            0.043144,            0.018178,           0.0018049,           0.0093664,           0.0093664,           0.0093664
                  66,            0.042612,            0.020129,          0.00097589,             0.81163,             0.72442,             0.78694,             0.48284,             0.04311,             0.01807,           0.0016067,           0.0093565,           0.0093565,           0.0093565
